ImageID,Rows,Columns,NumberOfOnes,BrHorizontalniPromeni,AvgHorizontalnaPromena,BrVertikalniPromeni,AvgVertikalnaPromena,Cluster
100,16,24,128.000000,91.000000,3.043956,80.000000,3.500000,1
101,16,24,171.000000,97.000000,2.793814,80.000000,3.500000,3
102,12,12,72.000000,88.000000,0.500000,88.000000,0.500000,1
103,12,16,95.000000,133.000000,0.353383,130.000000,0.353846,3
104,12,16,116.000000,71.000000,1.535211,70.000000,1.514286,1
105,12,16,108.000000,79.000000,1.278481,78.000000,1.256410,1
106,12,16,96.000000,135.000000,0.333333,132.000000,0.333333,3
107,12,16,107.000000,122.000000,0.475410,118.000000,0.491525,3
108,12,16,119.000000,133.000000,0.353383,130.000000,0.353846,3
109,12,16,123.000000,98.000000,0.836735,96.000000,0.833333,1
10,12,20,53.000000,101.000000,1.257426,98.000000,1.244898,1
110,24,24,60.000000,115.000000,3.800000,114.000000,3.842105,1
111,24,16,191.000000,177.000000,1.033898,182.000000,1.021978,3
112,24,32,166.000000,234.000000,2.179487,233.000000,2.158798,3
113,24,36,386.000000,455.000000,0.846154,450.000000,0.840000,2
114,32,18,208.000000,271.000000,1.007380,280.000000,0.992857,3
115,32,18,191.000000,348.000000,0.563218,371.000000,0.504043,2
116,26,36,193.000000,283.000000,2.215548,278.000000,2.237410,3
117,26,40,185.000000,360.000000,1.816667,354.000000,1.824859,2
118,8,24,22.000000,41.000000,3.487805,38.000000,3.421053,1
119,8,40,80.000000,96.000000,2.250000,84.000000,2.333333,1
11,8,16,65.000000,80.000000,0.500000,75.000000,0.493333,1
120,12,20,40.000000,76.000000,2.000000,73.000000,2.013699,1
121,12,16,160.000000,60.000000,2.000000,58.000000,2.034483,1
122,12,16,64.000000,80.000000,1.250000,58.000000,2.034483,1
123,16,20,72.000000,86.000000,2.534884,104.000000,1.884615,1
124,16,24,96.000000,114.000000,2.228070,89.000000,3.044944,1
125,16,32,160.000000,184.000000,1.695652,152.000000,2.157895,3
126,12,48,171.000000,177.000000,2.186441,106.000000,3.981132,3
127,16,48,320.000000,384.000000,0.958333,302.000000,1.384106,2
128,16,16,128.000000,120.000000,1.000000,160.000000,0.500000,3
129,14,28,106.000000,139.000000,1.719424,109.000000,2.339450,3
12,8,16,64.000000,60.000000,1.000000,56.000000,1.000000,1
130,13,36,132.000000,177.000000,1.570621,179.000000,1.413408,3
131,24,58,542.000000,493.000000,1.774848,486.000000,1.744856,2
132,18,32,139.000000,185.000000,2.016216,183.000000,1.972678,3
133,20,24,71.000000,137.000000,2.357664,136.000000,2.352941,3
134,20,24,154.000000,296.000000,0.554054,295.000000,0.545763,3
135,20,24,287.000000,224.000000,1.053571,222.000000,1.054054,3
136,24,32,307.000000,448.000000,0.660714,444.000000,0.657658,2
137,40,32,364.000000,504.000000,1.460317,509.000000,1.451866,2
138,16,24,139.000000,133.000000,1.766917,193.000000,0.865285,3
0,14,10,45.000000,51.000000,1.470588,55.000000,1.363636,1
140,24,28,212.000000,272.000000,1.382353,203.000000,2.172414,3
141,24,16,113.000000,137.000000,1.627737,105.000000,2.504762,3
142,20,24,114.000000,171.000000,1.690058,174.000000,1.620690,3
143,20,20,179.000000,157.000000,1.420382,155.000000,1.451613,3
144,16,16,133.000000,120.000000,1.000000,121.000000,0.983471,3
145,20,24,135.000000,138.000000,2.333333,143.000000,2.188811,3
146,20,16,160.000000,204.000000,0.470588,208.000000,0.461538,3
147,20,16,165.000000,110.000000,1.727273,113.000000,1.690265,3
148,16,16,124.000000,168.000000,0.428571,144.000000,0.666667,3
149,16,16,112.000000,210.000000,0.142857,210.000000,0.142857,3
0,12,14,97.000000,59.000000,1.644068,39.000000,2.948718,1
150,16,16,128.000000,152.000000,0.578947,152.000000,0.578947,3
151,12,16,96.000000,132.000000,0.363636,136.000000,0.294118,3
152,12,16,96.000000,135.000000,0.333333,88.000000,1.000000,1
153,4,35,30.000000,38.000000,2.578947,24.000000,3.375000,1
154,3,34,35.000000,38.000000,1.605263,18.000000,2.777778,1
155,20,24,268.000000,404.000000,0.138614,401.000000,0.137157,2
156,20,24,240.000000,360.000000,0.277778,340.000000,0.341176,2
15,14,16,67.000000,34.000000,5.176471,118.000000,0.762712,1
161,20,32,110.000000,147.000000,3.217687,136.000000,3.470588,3
